event_id,bracket,buy_price,buy_time,sell_price,pnl,resolved,approach
10559,0-59,0.065,1714752652.912963,0.0,-1.0,True,xgboost
10559,90-104,0.28,1714925452.912963,1.0,2.571428571428571,True,xgboost
10628,0-59,0.0275,1715360639.960883,1.0,35.36363636363637,True,xgboost
10628,0-59,0.1025,1715619839.960883,1.0,8.75609756097561,True,xgboost
10628,0-59,0.205,1715792639.960883,1.0,3.8780487804878048,True,xgboost
10678,75-84,0.195,1716007759.271905,1.0,4.128205128205128,True,xgboost
10678,85-94,0.19,1716072559.271905,0.0,-1.0,True,xgboost
10678,95-104,0.15,1716072559.271905,0.0,-1.0,True,xgboost
10678,85-94,0.385,1716504559.271905,0.0,-1.0,True,xgboost
10764,0-54,0.05,1716569661.970676,1.0,19.0,True,xgboost
10764,0-54,0.1695,1716785661.970676,1.0,4.899705014749262,True,xgboost
