event_id,bracket,buy_price,buy_time,sell_price,pnl,resolved,approach
10984,60-69,0.365,1718169373.805113,0.0,-0.9999999999999999,True,ml
10984,70-79,0.47,1718342173.805113,1.0,1.127659574468085,True,ml
11108,0-39,0.025,1718389278.34871,0.0,-1.0,True,ml
11108,40-49,0.065,1718389278.34871,1.0,14.384615384615385,True,ml
11108,50-59,0.17,1718389278.34871,0.0,-1.0,True,ml
11108,60-69,0.23,1718389278.34871,0.0,-1.0,True,ml
11108,70-79,0.21,1718389278.34871,0.0,-1.0,True,ml
11108,80-89,0.155,1718389278.34871,0.0,-1.0,True,ml
11108,90-99,0.095,1718389278.34871,0.0,-1.0,True,ml
11108,0-39,0.075,1718454078.34871,0.0,-1.0,True,ml
11108,40-49,0.155,1718454078.34871,1.0,5.451612903225807,True,ml
11108,50-59,0.46,1718842878.34871,0.0,-1.0,True,ml
11206,0-39,0.04,1718987775.198072,0.0,-1.0,True,ml
11206,40-49,0.12,1718987775.198072,0.0,-1.0,True,ml
11206,50-59,0.25,1718987775.198072,1.0,3.0,True,ml
11206,60-69,0.29,1718987775.198072,0.0,-1.0,True,ml
11206,70-79,0.2,1718987775.198072,0.0,-1.0,True,ml
11206,80-89,0.095,1718987775.198072,0.0,-1.0,True,ml
11206,90-99,0.05,1718987775.198072,0.0,-1.0,True,ml
11206,0-39,0.1055,1719160575.198072,0.0,-1.0,True,ml
11206,40-49,0.295,1719160575.198072,0.0,-1.0,True,ml
11206,0-39,0.255,1719246975.198072,0.0,-1.0,True,ml
11312,0-39,0.035,1719593767.561059,0.0,-1.0,True,ml
11312,40-49,0.125,1719593767.561059,0.0,-1.0,True,ml
11312,50-59,0.3,1719593767.561059,0.0,-1.0,True,ml
11312,60-69,0.28,1719593767.561059,0.0,-1.0,True,ml
11312,70-79,0.195,1719593767.561059,1.0,4.128205128205128,True,ml
11312,80-89,0.075,1719593767.561059,0.0,-1.0,True,ml
11312,90-99,0.031,1719593767.561059,0.0,-1.0,True,ml
11312,90-99,0.1445,1719852967.561059,0.0,-1.0,True,ml
11312,80-89,0.365,1719896167.561059,0.0,-0.9999999999999999,True,ml
11312,70-79,0.4,1720025767.561059,1.0,1.5,True,ml
11407,0-39,0.035,1720210248.326639,0.0,-1.0,True,ml
11407,40-49,0.16,1720210248.326639,0.0,-1.0,True,ml
11407,50-59,0.28,1720210248.326639,0.0,-1.0,True,ml
11407,60-69,0.28,1720210248.326639,0.0,-1.0,True,ml
11407,70-79,0.18,1720210248.326639,1.0,4.555555555555555,True,ml
11407,80-89,0.08,1720210248.326639,0.0,-1.0,True,ml
11407,90-99,0.05,1720210248.326639,0.0,-1.0,True,ml
11407,100+,0.0425,1720210248.326639,0.0,-1.0,True,ml
11407,0-39,0.1205,1720361448.326639,0.0,-1.0,True,ml
11407,40-49,0.355,1720404648.326639,0.0,-1.0,True,ml
11407,0-39,0.4,1720447848.326639,0.0,-1.0,True,ml
11407,70-79,0.366,1720663848.326639,1.0,1.7322404371584699,True,ml
11407,80-89,0.2625,1720707048.326639,0.0,-1.0,True,ml
11479,0-39,0.04,1720804370.255582,0.0,-1.0,True,ml
11479,40-49,0.085,1720804370.255582,0.0,-1.0,True,ml
11479,50-59,0.21,1720804370.255582,0.0,-1.0,True,ml
11479,60-69,0.3,1720804370.255582,0.0,-1.0,True,ml
11479,70-79,0.25,1720804370.255582,0.0,-1.0,True,ml
11479,80-89,0.15,1720804370.255582,0.0,-1.0,True,ml
11479,90-99,0.07,1720804370.255582,0.0,-1.0,True,ml
11479,100+,0.04,1720804370.255582,1.0,24.0,True,ml
11479,80-89,0.495,1720933970.255582,0.0,-1.0,True,ml
11479,90-99,0.2,1720977170.255582,0.0,-1.0,True,ml
11479,100+,0.15,1720977170.255582,1.0,5.666666666666667,True,ml
11479,100+,0.375,1721106770.255582,1.0,1.6666666666666665,True,ml
11619,0-59,0.04,1721414318.936739,0.0,-1.0,True,ml
