event_id,bracket,buy_price,buy_time,sell_price,pnl,resolved,approach
10559,0-59,0.0145,1714882252.912963,0.0,-0.9999999999999999,True,bracket_spread
10559,120-134,0.0135,1715184652.912963,0.0,-1.0,True,bracket_spread
10559,105-119,0.0255,1715271052.912963,0.0,-1.0,True,bracket_spread
10628,0-59,0.022,1715447039.960883,1.0,44.45454545454546,True,bracket_spread
10678,0-54,0.003,1716266959.271905,0.0,-1.0,True,bracket_spread
10984,40-49,0.009,1718212573.805113,0.0,-1.0,True,bracket_spread
10984,50-59,0.0025,1718298973.805113,0.0,-1.0,True,bracket_spread
11312,50-59,0.0105,1719939367.561059,0.0,-0.9999999999999999,True,bracket_spread
